X,Y
607,55
608,54
609,50
612,48
614,46
586,338
616,50
623,53
626,56
632,61
636,67
642,74
648,84
653,93
660,105
380,350
674,126
681,138
689,149
696,161
703,172
707,182
711,195
713,204
581,330
717,221
718,228
719,236
721,244
725,248
729,252
380,363
380,363
735,257
532,421
738,249
733,243
728,233
724,226
718,220
714,217
682,87
682,87
721,87
740,89
757,89
776,97
793,97
811,96
828,97
838,98
845,97
848,96
846,94
844,90
840,84
836,82
832,80
830,78
825,80
820,76
812,75
806,72
800,69
792,65
784,60
772,49
764,43
754,41
742,39
727,30
717,30
703,28
