% Moku:Oscilloscope
% Channel A (Input 1) - DC coupling, 1 MOhm impedance, 1 x probe attenuation
% Channel B (Input 2) - DC coupling, 1 MOhm impedance, 1 x probe attenuation
% Time span 3.000 s, time offset 1.740 s, Normal acquisition mode, 1 averages
% Edge trigger: Channel A, level 2.000 V, Auto mode, Rising edge, Auto sensitivity, noise reject off, HF reject off
% Output 1 - Pulse, 50.000 000 Hz, 3.303 5 Vpp, offset 0.000 0 V, phase 0.000 deg, width 1.000 ms, edge 4.000 ns, output load 1 MOhm
% Output 2 - Ramp, 50.000 000 000 kHz, 500.9 mVpp, offset 0.000 0 V, phase 0.000 deg, symmetry 90.00 %, output load 50 Ohm
% Internal 10 MHz clock
% Acquired 2022-05-01 T 02:47:07 -0400
% Kite Propulsion Generator Prototype Iteration 1.0
% Time (s), Channel A (Input 1) (V), Channel B (Input 2) (V)
-2.919750511891e+00, -1.356797e-01, -2.695226e-03
-2.916817750109e+00, -1.271329e-01, -1.347613e-03
-2.913884988328e+00, -1.177849e-01, 0.000000e+00
-2.910952226547e+00, -1.125768e-01, 2.695226e-03
-2.908019464766e+00, -9.361365e-02, 2.695226e-03
-2.905086702984e+00, -8.039289e-02, -2.695226e-03
-2.902153941203e+00, -7.211322e-02, -5.390453e-03
-2.899221179422e+00, -5.929309e-02, -1.347613e-03
-2.896288417641e+00, -6.370001e-02, 0.000000e+00
-2.893355655859e+00, -7.304802e-02, 4.042840e-03
-2.890422894078e+00, -7.638660e-02, 1.347613e-03
-2.887490132297e+00, -8.493335e-02, -2.695226e-03
-2.884557370516e+00, -9.561679e-02, -6.738066e-03
-2.881624608734e+00, -1.033623e-01, -1.347613e-03
-2.878691846953e+00, -1.149805e-01, 1.347613e-03
-2.875759085172e+00, -1.256640e-01, 4.042840e-03
-2.872826323391e+00, -1.282013e-01, -1.347613e-03
-2.869893561609e+00, -1.216577e-01, -4.042840e-03
-2.866960799828e+00, -1.087040e-01, -6.738066e-03
-2.864028038047e+00, -1.008250e-01, 0.000000e+00
-2.861095276266e+00, -8.720358e-02, 2.695226e-03
-2.858162514484e+00, -6.637087e-02, 1.347613e-03
-2.855229752703e+00, -5.595452e-02, 0.000000e+00
-2.852296990922e+00, -5.408492e-02, -4.042840e-03
-2.849364229141e+00, -5.114697e-02, -1.347613e-03
-2.846431467359e+00, -4.820902e-02, 0.000000e+00
-2.843498705578e+00, -4.233313e-02, 2.695226e-03
-2.840565943797e+00, -4.380211e-02, -1.347613e-03
-2.837633182016e+00, -4.660651e-02, -4.042840e-03
-2.834700420234e+00, -4.887674e-02, -6.738066e-03
-2.831767658453e+00, -5.168114e-02, -4.042840e-03
-2.828834896672e+00, -5.969372e-02, 1.347613e-03
-2.825902134891e+00, -7.611951e-02, 1.347613e-03
-2.822969373109e+00, -9.748639e-02, -1.347613e-03
-2.820036611328e+00, -1.085705e-01, -4.042840e-03
-2.817103849547e+00, -1.159153e-01, -4.042840e-03
-2.814171087766e+00, -1.366145e-01, 1.347613e-03
-2.811238325984e+00, -1.288690e-01, 2.695226e-03
-2.808305564203e+00, -9.989017e-02, 1.347613e-03
-2.805372802422e+00, -8.640232e-02, -1.347613e-03
-2.802440040641e+00, -7.571888e-02, -4.042840e-03
-2.799507278859e+00, -7.398282e-02, -1.347613e-03
-2.796574517078e+00, -7.892392e-02, 0.000000e+00
-2.793641755297e+00, -7.838974e-02, 2.695226e-03
-2.790708993516e+00, -8.426564e-02, 1.347613e-03
-2.787776231734e+00, -8.560107e-02, -1.347613e-03
-2.784843469953e+00, -9.281239e-02, -4.042840e-03
-2.781910708172e+00, -1.053654e-01, 0.000000e+00
-2.778977946391e+00, -1.052319e-01, 1.347613e-03
-2.776045184609e+00, -9.708576e-02, 2.695226e-03
-2.773112422828e+00, -1.013591e-01, -1.347613e-03
-2.770179661047e+00, -9.868828e-02, -2.695226e-03
-2.767246899266e+00, -9.361365e-02, -2.695226e-03
-2.764314137484e+00, -9.094279e-02, 0.000000e+00
-2.761381375703e+00, -8.506689e-02, 2.695226e-03
-2.758448613922e+00, -7.598597e-02, 1.347613e-03
-2.755515852141e+00, -7.384928e-02, -1.347613e-03
-2.752583090359e+00, -7.304802e-02, -2.695226e-03
-2.749650328578e+00, -8.573461e-02, -4.042840e-03
-2.746717566797e+00, -1.030952e-01, 0.000000e+00
-2.743784805016e+00, -1.253969e-01, 2.695226e-03
-2.740852043234e+00, -1.523726e-01, 1.347613e-03
-2.737919281453e+00, -1.661275e-01, -5.390453e-03
-2.734986519672e+00, -1.518384e-01, -5.390453e-03
-2.732053757891e+00, -1.379499e-01, 0.000000e+00
-2.729120996109e+00, -1.223254e-01, 1.347613e-03
-2.726188234328e+00, -1.037629e-01, 2.695226e-03
-2.723255472547e+00, -9.521616e-02, -2.695226e-03
-2.720322710766e+00, -8.733713e-02, -2.695226e-03
-2.717389948984e+00, -8.960736e-02, -4.042840e-03
-2.714457187203e+00, -9.708576e-02, -1.347613e-03
